,Intercept,diet[T.NC],mz,rt,nearest_distance,scan,Adduct,CAS_Number,Charge,Compound_Name,Compound_Source,Data_Collector,ExactMass,FileScanUniqueID,INCHI,INCHI_AUX,Instrument,IonMode,Ion_Source,LibMZ,LibraryName,LibraryQualityString,Library_Class,MQScore,MZErrorPPM,MassDiff,NumberHits,Organism,PI,Precursor_MZ,Pubmed_ID,RT_Query,SharedPeaks,Smiles,SpecCharge,SpecMZ,SpectrumFile,SpectrumID,TIC_Query,UpdateWorkflowName,tags,internalFilename,compound_type,manual_annotation,mz_diff,rt_diff,document,motif,probability,overlap,precursor.mass,retention.time,document.annotation,urine_mass2motif_78.m2m http://ms2lda.org/motifdb/motif/150868 Betaine related,euphorbia_motif_350.m2m http://ms2lda.org/motifdb/motif/151080 Import motif,motif_474,motif_418,euphorbia_motif_18.m2m http://ms2lda.org/motifdb/motif/151137 m/z 203 189,motif_313,motif_449,motif_400,motif_543,motif_478,motif_338,gnps_motif_43.m2m http://ms2lda.org/motifdb/motif/151021 Water loss - indicative of a free hydroxyl group – (in beer often seen in sugary structures),motif_388,motif_306,gnps_motif_38.m2m http://ms2lda.org/motifdb/motif/151045 Loss of CH2O2 - indicative for underivatized carboxilic acid group,motif_559,motif_451,motif_443,motif_469
415.211848530794_6.49128654618474,4.3257196511566365,-0.3313217671587907,415.211848530794,389.4771927710844,3.316807337454441,4510.0,M-H2O+H,,1.0,"NCGC00385811-01!6-[3-[(3,4-dimethoxyphenyl)methyl]-4-methoxy-2-(methoxymethyl)butyl]-4-methoxy-1,3-benzodioxole",isolated,lfnothias,432.215,spectra/specs_ms.pklbin4510,"InChI=1S/C24H32O7/c1-25-13-18(8-16-6-7-20(27-3)21(10-16)28-4)19(14-26-2)9-17-11-22(29-5)24-23(12-17)30-15-31-24/h6-7,10-12,18-19H,8-9,13-15H2,1-5H3",,Maxis II HD Q-TOF Bruker,positive,LC-ESI,415.211,lib-00000.mgf,Gold,1.0,0.909917,0.0,0.0,1.0,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,Jadhav/Dorrestein,415.211,,392.79400000000004,4.0,COCC(CC1=CC=C(OC)C(OC)=C1)C(COC)CC2=CC3=C(OCO3)C(OC)=C2,0.0,415.211,specs_ms.pklbin,CCMSLIB00000848625,106665.0,UPDATE-SINGLE-ANNOTATED-GOLD, ,specs_ms.pklbin,,,-0.0008485307939736231,3.31680722891565,4510.0,,,,415.211,392.794006,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
391.284289793925_5.31039220563847,5.829685505801411,-0.3103617938235246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
357.278800605246_5.90043730738037,5.240858134204121,-0.8203388961031877,357.278800605246,354.0262384428222,1.8532386157542757,1625.0,M+H-H2O,5255174,1.0,Spectral Match to 3.beta.-Hydroxy-5-cholenoic acid from NIST14,Isolated,Data deposited by fevargas,0.0,spectra/specs_ms.pklbin1625,,,HCD,Positive,ESI,357.278,lib-00024.mgf,Bronze,3.0,0.866059,2.73334,0.0009765619999999999,1.0,GNPS-NIST14-MATCHES,Data from Christopher A. Lowry,357.278,,352.173,10.0,,0.0,357.279,specs_ms.pklbin,CCMSLIB00003134721,5752.7,UPDATE-SINGLE-ANNOTATED-BRONZE, ,specs_ms.pklbin,,,-0.0008006052459563762,-1.853238442822203,1625.0,"motif_311,motif_497","0.1635,0.7488","0.4699,0.6781",357.27898999999996,352.173004,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
355.262780818769_4.8028443989071,4.747541126185627,-0.5241207392886125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
413.266124619758_6.31195119341563,3.90230446713564,-0.471230200119301,413.266124619758,378.7170716049378,14.210645772954187,4510.0,M-H2O+H,,1.0,"NCGC00385811-01!6-[3-[(3,4-dimethoxyphenyl)methyl]-4-methoxy-2-(methoxymethyl)butyl]-4-methoxy-1,3-benzodioxole",isolated,lfnothias,432.215,spectra/specs_ms.pklbin4510,"InChI=1S/C24H32O7/c1-25-13-18(8-16-6-7-20(27-3)21(10-16)28-4)19(14-26-2)9-17-11-22(29-5)24-23(12-17)30-15-31-24/h6-7,10-12,18-19H,8-9,13-15H2,1-5H3",,Maxis II HD Q-TOF Bruker,positive,LC-ESI,415.211,lib-00000.mgf,Gold,1.0,0.909917,0.0,0.0,1.0,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,Jadhav/Dorrestein,415.211,,392.79400000000004,4.0,COCC(CC1=CC=C(OC)C(OC)=C1)C(COC)CC2=CC3=C(OCO3)C(OC)=C2,0.0,415.211,specs_ms.pklbin,CCMSLIB00000848625,106665.0,UPDATE-SINGLE-ANNOTATED-GOLD, ,specs_ms.pklbin,,,1.9448753802420242,14.076928395062225,4510.0,,,,415.211,392.794006,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
355.262840945544_5.08564248945147,4.702989157611103,-0.2905740054324113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
373.2737319894_6.82877850980392,3.77048974888918,-0.0012252839281998718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
344.316259364267_7.39209257465698,4.881007846766682,0.3320425240323104,344.316259364267,443.52555447941876,9.636120658789316,1119.0,M+H,,1.0,"NCGC00380950-01_C19H20O6_6a,7,8,12a-Tetrahydroxy-3-methyl-2,3,4,5,6,6a,7,12a-octahydro-1,12-tetraphenedione",isolated,lfnothias,344.126,spectra/specs_ms.pklbin1119,"InChI=1S/C19H20O6/c1-9-7-10-5-6-18(24)17(23)14-11(3-2-4-12(14)20)16(22)19(18,25)15(10)13(21)8-9/h2-4,9,17,20,23-25H,5-8H2,1H3",,Maxis II HD Q-TOF Bruker,positive,LC-ESI,345.13300000000004,lib-00000.mgf,Gold,1.0,0.5962890000000001,486.767,0.167999,1.0,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,Jadhav/Dorrestein,345.13300000000004,,453.12699999999995,4.0,CC1CC(=O)C/2=C(/CCC3(O)C(O)C4=C(O)C=CC=C4C(=O)C23O)C1,0.0,345.301,specs_ms.pklbin,CCMSLIB00000853947,14196.6,UPDATE-SINGLE-ANNOTATED-GOLD, ,specs_ms.pklbin,,,0.8167406357330265,9.601445520581194,1119.0,"motif_383,motif_506","0.4056,0.5195","0.3974,0.6776",345.30099,453.127014,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
432.239021199541_6.49175058275058,4.04594665425417,-0.526460102386757,432.239021199541,389.5050349650348,2.2660351951389757,4758.0,M+ACN+H,,1.0,"NCGC00385123-01_C22H30O6_7b,9-Dihydroxy-3-(hydroxymethyl)-1,1,6,8-tetramethyl-5-oxo-1,1a,1b,4,4a,5,7a,7b,8,9-decahydro-9aH-cyclopropa[3,4]benzo[1,2-e]azulen-9a-yl acetate",isolated,lfnothias,390.204,spectra/specs_ms.pklbin4758,"InChI=1S/C22H30O6/c1-10-6-15-14(17(10)25)7-13(9-23)8-16-18-20(4,5)22(18,28-12(3)24)19(26)11(2)21(15,16)27/h6,8,11,14-16,18-19,23,26-27H,7,9H2,1-5H3",,Maxis II HD Q-TOF Bruker,positive,LC-ESI,432.23800000000006,lib-00000.mgf,Gold,1.0,0.858585,2.32992,0.00100708,1.0,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,Jadhav/Dorrestein,432.23800000000006,,387.23900000000003,6.0,CC1C(O)C2(OC(C)=O)C(C3\C=C(CO)/CC4C(\C=C(C)/C4=O)C13O)C2(C)C,0.0,432.23900000000003,specs_ms.pklbin,CCMSLIB00000853386,251169.0,UPDATE-SINGLE-ANNOTATED-GOLD, ,specs_ms.pklbin,,,-0.0010211995409576957,-2.2660349650347484,4758.0,,,,432.23900999999995,387.239014,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
511.23424894848_4.80937800167925,3.9231913651764114,-0.09840445835141763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
373.273695707011_5.32840991967871,5.438230689936848,-0.5939718993380511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
300.290051765367_6.9684338638373,5.761756953173848,-0.1106651337817155,300.290051765367,418.10603183023795,3.051032011522576,359.0,M+H,123784,1.0,Spectral Match to D-erythro-C18-Sphingosine from NIST14,Isolated,Data deposited by amelnik,0.0,spectra/specs_ms.pklbin359,,,QqQ,Positive,ESI,300.289,lib-00024.mgf,Bronze,3.0,0.9832270000000001,3.3537,0.00100708,1.0,GNPS-NIST14-MATCHES,Data from PDorrestein,300.289,,415.055,9.0,,0.0,300.29,specs_ms.pklbin,CCMSLIB00003139271,253821.0,UPDATE-SINGLE-ANNOTATED-BRONZE, ,specs_ms.pklbin,,,-0.0010517653670376603,-3.051031830237946,359.0,"gnps_motif_43.m2m,motif_394","0.4313,0.4935","1.0000,0.5182",300.29001,415.054993,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
454.293281713147_7.51247622877569,5.644087966853352,0.8076310841366805,454.293281713147,450.7485737265414,9.562131815823637,5015.0,M+H,,1.0,"NCGC00180745-02_C28H36O5_2-Picenecarboxylic acid, 1,2,3,4,4a,5,6,6a,8,12b,13,14,14a,14b-tetradecahydro-10,11-dihydroxy-2,4a,6a,12b,14a-pentamethyl-8-oxo-, (2R,4aS,6aS,12bR,14aS,14bR)-",isolated,lfnothias,452.256,spectra/specs_ms.pklbin5015,"InChI=1S/C28H36O5/c1-24-6-7-25(2,23(32)33)15-22(24)28(5)11-9-26(3)17-13-20(31)19(30)12-16(17)18(29)14-21(26)27(28,4)10-8-24/h12-14,22,30-31H,6-11,15H2,1-5H3,(H,32,33)/t22-,24-,25-,26+,27-,28+/m1/s1",,Maxis II HD Q-TOF Bruker,positive,LC-ESI,453.264,lib-00000.mgf,Gold,1.0,0.54037,141.188,0.06399540000000001,1.0,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,Jadhav/Dorrestein,453.264,,441.24199999999996,5.0,C[C@]12CC[C@](C)(C[C@H]1[C@]3(C)CC[C@@]4(C)C5=C(C=C(O)C(=C5)O)C(=O)/C=C4/[C@@]3(C)CC2)C(O)=O,0.0,453.32800000000003,specs_ms.pklbin,CCMSLIB00000849718,7523.5,UPDATE-SINGLE-ANNOTATED-GOLD, ,specs_ms.pklbin,,,-1.029281713146986,-9.506573726541433,5015.0,euphorbia_motif_18.m2m,0.6903,0.3206,453.32800000000003,441.242004,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
391.28406034641_4.83897074592074,4.5404973592102245,-0.12924926597623454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
487.236565453531_4.68330546184739,3.3827837075531204,-0.12003224212674725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
438.298274702722_7.76482571059431,6.2668092514812646,0.2346306530758895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
373.273818064834_5.68369543496985,6.828784969025822,-0.904244592972084,373.273818064834,341.021726098191,11.117412845018439,3053.0,[M+H]+,83-43-2,1.0,"Massbank:EA262112 Methylprednisolone|(6alpha,11beta)-11,17,21-trihydroxy-6-methylpregna-1,4-diene-3,20-dione|(6S,8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-17-(2-hydroxy-1-oxoethyl)-6,10,13-trimethyl-7,8,9,11,12,14,15,",Isolated,Massbank,0.0,spectra/specs_ms.pklbin3053,"1S/C22H30O5/c1-12-8-14-15-5-7-22(27,18(26)11-23)21(15,3)10-17(25)19(14)20(2)6-4-13(24)9-16(12)20/h4,6,9,12,14-15,17,19,23,25,27H,5,7-8,10-11H2,1-3H3/t12-,14-,15-,17-,19+,20-,21-,22-/m0/s1",,LC-ESI-ITFT,Positive,ESI,375.217,lib-00002.mgf,Bronze,3.0,0.509546,194.549,0.07299800000000001,1.0,MASSBANK,Putative Massbank Match,375.217,,351.968,4.0,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]3([H])[C@@]2([H])C[C@]([H])(C)C4=CC(=O)C=C[C@]34C,0.0,375.29,specs_ms.pklbin,CCMSLIB00000209931,2143.76,UPDATE-SINGLE-ANNOTATED-BRONZE, ,specs_ms.pklbin,,,1.943181935165967,10.946273901809036,3053.0,"motif_469,motif_448,motif_388","0.3993,0.2606,0.1355","0.3652,0.7124,0.9194",375.29001,351.967987,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
469.295574606234_5.08507618473894,2.815874155932637,0.004983016662315265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
568.225102342073_4.79603508353221,3.3106358613311966,0.03062433879824056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
391.284181818993_6.01933271747497,3.8909841145813187,-0.3592114957049333,391.284181818993,361.1599630484982,10.879036953021153,3527.0,M+H,5130290,1.0,Spectral Match to 12-Ketodeoxycholic acid from NIST14,Isolated,Data deposited by fevargas,0.0,spectra/specs_ms.pklbin3527,,,qTof,Positive,LC-ESI,391.284,lib-00024.mgf,Bronze,3.0,0.849642,2.5737799999999997,0.00100708,1.0,GNPS-NIST14-MATCHES,Data from Joshua Wollam,391.284,,372.039,14.0,CC(CCC(=O)O)C1CCC2C1(C(=O)CC3C2CCC4C3(CCC(C4)O)C)C,0.0,391.285,specs_ms.pklbin,CCMSLIB00003135123,249211.0,UPDATE-SINGLE-ANNOTATED-BRONZE, ,specs_ms.pklbin,,,-0.00018181899298497228,10.879036951501803,3527.0,"gnps_motif_56.m2m,motif_388,motif_519,motif_420","0.1835,0.2100,0.2691,0.1773","1.0000,0.9322,0.6597,0.3542",391.285,372.039001,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
432.787578201967_6.7902779610829,3.2063785161316116,-0.5097476752474748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
375.288870609301_6.23114208037824,4.330830630236837,-0.6781970771029435,375.288870609301,373.86852482269444,2.463524826092434,2953.0,M+H-H2O,128132,1.0,Spectral Match to Ursodeoxycholic acid from NIST14,Isolated,Data deposited by fevargas,0.0,spectra/specs_ms.pklbin2953,,,HCD,Positive,ESI,375.289,lib-00024.mgf,Bronze,3.0,0.676219,2.68348,0.00100708,1.0,GNPS-NIST14-MATCHES,Data from Joshua Wollam,375.289,,371.405,10.0,,0.0,375.29,specs_ms.pklbin,CCMSLIB00003139832,4046.0,UPDATE-SINGLE-ANNOTATED-BRONZE, ,specs_ms.pklbin,,,0.00012939069898720845,-2.463524822694467,2953.0,"motif_469,gnps_motif_56.m2m","0.6904,0.1415","0.6466,1.0000",375.29001,371.40499900000003,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
373.273731483793_6.32726861370716,3.8016026582061966,-0.8048414500430071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
440.277437561995_6.99012471526197,4.915738161975117,1.4540793834254302,440.277437561995,419.4074829157182,5.0087812217045515,4847.0,M+H-H2O,508021,1.0,Spectral Match to Oleanolic acid from NIST14,Isolated,Data deposited by aaksenov,0.0,spectra/specs_ms.pklbin4847,,,Q-TOF,Positive,ESI,439.35699999999997,lib-00024.mgf,Bronze,3.0,0.819469,0.0,0.0,1.0,GNPS-NIST14-MATCHES,Data from Karin,439.35699999999997,,414.48400000000004,8.0,,0.0,439.35699999999997,specs_ms.pklbin,CCMSLIB00003136060,135386.0,UPDATE-SINGLE-ANNOTATED-BRONZE, ,specs_ms.pklbin,,,-0.9204375619950156,-4.923482915718182,4847.0,"euphorbia_motif_350.m2m,euphorbia_motif_18.m2m","0.2085,0.3877","0.7137,0.4932",439.35699000000005,414.48400899999996,,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
346.331702300943_7.53415939248601,4.422489699298115,-0.8276225836947404,346.331702300943,452.0495635491606,1.6117557233908666,1119.0,M+H,,1.0,"NCGC00380950-01_C19H20O6_6a,7,8,12a-Tetrahydroxy-3-methyl-2,3,4,5,6,6a,7,12a-octahydro-1,12-tetraphenedione",isolated,lfnothias,344.126,spectra/specs_ms.pklbin1119,"InChI=1S/C19H20O6/c1-9-7-10-5-6-18(24)17(23)14-11(3-2-4-12(14)20)16(22)19(18,25)15(10)13(21)8-9/h2-4,9,17,20,23-25H,5-8H2,1H3",,Maxis II HD Q-TOF Bruker,positive,LC-ESI,345.13300000000004,lib-00000.mgf,Gold,1.0,0.5962890000000001,486.767,0.167999,1.0,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,Jadhav/Dorrestein,345.13300000000004,,453.12699999999995,4.0,CC1CC(=O)C/2=C(/CCC3(O)C(O)C4=C(O)C=CC=C4C(=O)C23O)C1,0.0,345.301,specs_ms.pklbin,CCMSLIB00000853947,14196.6,UPDATE-SINGLE-ANNOTATED-GOLD, ,specs_ms.pklbin,,,-1.198702300942955,1.0774364508393433,1119.0,"motif_383,motif_506","0.4056,0.5195","0.3974,0.6776",345.30099,453.127014,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
